"block","contrast","symbol","log2_normalized_ratio"
"68_3__batch1","day1_vs_control","SPAG9",-0.204069911474077
"68_3__batch1","day1_vs_control","CAND1",-0.124961441302627
"68_3__batch1","day1_vs_control","MYL6",0.88022499789459
"68_3__batch1","day1_vs_control","ARHGAP35",0.55012006158943
"68_3__batch1","day1_vs_control","PTPRD",-0.260769878342625
"68_3__batch1","day1_vs_control","DDX24",0.240198354968227
"68_3__batch1","day1_vs_control","PLD3",0.944203576201932
"68_3__batch1","day1_vs_control","C14orf132",0.0275963816885731
"68_3__batch1","day1_vs_control","RPL5",-0.183156008649314
"68_3__batch1","day1_vs_control","TIA1",-1.05971561517426
"68_3__batch1","day1_vs_control","UBR4",0.345052924900612
"68_3__batch1","day1_vs_control","MPRIP",0.0075803378714614
"68_3__batch1","day1_vs_control","HSBP1",0.33261344796566
"68_3__batch1","day1_vs_control","RPL37A",0.193181522990225
"68_3__batch1","day1_vs_control","CLSTN3",0.322182886351921
"68_3__batch1","day1_vs_control","DHX9",0.53621730532622
"68_3__batch1","day1_vs_control","TM9SF3",-0.763574224147689
"68_3__batch1","day1_vs_control","NAPB",-0.14707164215107
"68_3__batch1","day1_vs_control","TUG1",0.0565693397163241
"68_3__batch1","day1_vs_control","CHGB",0.757152606744954
"68_3__batch1","day1_vs_control","PRNP",-0.515847181141901
"68_3__batch1","day1_vs_control","NEGR1",-0.651443189924805
"68_3__batch1","day1_vs_control","MAPRE2",0.233104820188233
"68_3__batch1","day1_vs_control","TMEM246",-0.0763567843588202
"68_3__batch1","day1_vs_control","SLC22A17",0.488613706426463
"68_3__batch1","day1_vs_control","ROBO1",-0.552058552748319
"68_3__batch1","day1_vs_control","CLCN4",-0.56188649057783
"68_3__batch1","day1_vs_control","IRGQ",0.360290417500845
"68_3__batch1","day1_vs_control","PEBP1",0.522529140039349
"68_3__batch1","day1_vs_control","DYNC1LI2",-0.125922188480983
"68_3__batch1","day1_vs_control","SCG3",0.123269638518487
"68_3__batch1","day1_vs_control","PTPRM",-0.278889587488422
"68_3__batch1","day1_vs_control","ATXN7L3B",0.322091622740306
"68_3__batch1","day1_vs_control","AKAP9",-0.503198815158155
"68_3__batch1","day1_vs_control","STMN4",0.541493307570402
"68_3__batch1","day1_vs_control","PKM",1.19309056567963
"68_3__batch1","day1_vs_control","ZMIZ1",0.269302648148255
"68_3__batch1","day1_vs_control","PARP6",0.472206819760357
"68_3__batch1","day1_vs_control","PCSK1",0.521720267462799
"68_3__batch1","day1_vs_control","FXYD6",0.468264259182103
"68_3__batch1","day1_vs_control","CNR1",-0.661713357754142
"68_3__batch1","day1_vs_control","MLLT4",-0.1813406359704
"68_3__batch1","day1_vs_control","PCDH17",-0.485676272151776
"68_3__batch1","day1_vs_control","NRXN2",0.257662601166379
"68_3__batch1","day1_vs_control","PRRC2C",-0.089114003411078
"68_3__batch1","day1_vs_control","FTL",0.68201649426409
"68_3__batch1","day1_vs_control","GNG4",1.23954473195566
"68_3__batch1","day1_vs_control","DHCR24",0.00831560567706369
"68_3__batch1","day1_vs_control","KIF21A",-0.0478969292057272
"68_3__batch1","day1_vs_control","ALCAM",-0.438377238232098
"68_3__batch1","day1_vs_control","CTNNB1",0.0380539016349211
"68_3__batch1","day1_vs_control","REEP5",-0.295178392669646
"68_3__batch1","day1_vs_control","KIF3B",0.480311919812788
"68_3__batch1","day1_vs_control","PLXNC1",-0.676000972009733
"68_3__batch1","day1_vs_control","FAM168B",0.298210366641124
